CWNS_NUM,FBI,LANDFILL,LAND_APP,MHI
05000434001,0,1,0,0
05000453001,0,1,0,0
05000465001,0,1,0,0
05000500002,0,1,0,0
05000502001,0,1,0,0
05000504001,0,1,0,0
05000507001,0,1,0,0
05000512001,0,1,0,0
05000529001,0,0,1,0
05000543001,0,1,0,0
05000546001,0,1,0,0
05000557001,0,1,0,0
05000559001,0,1,0,0
05000565001,0,1,0,0
05000573001,0,1,0,0
05000580001,0,1,0,0
05000626001,0,0,1,0
05000629002,0,1,0,0
05000641001,0,1,0,0
05000652001,0,1,0,0
05000685001,0,1,0,0
05000693001,0,1,0,0
05000696001,0,1,0,0
05000701001,0,1,0,0
05000708001,0,0,1,0
05000710001,0,1,0,0
05000726001,0,1,0,0
05000742001,0,1,0,0
05000743001,0,0,1,0
05000745001,0,1,0,0
05000764001,0,1,0,0
05000775001,0,1,0,0
05009000002,0,1,0,0
06001003001,0,0,1,0
06001007001,0,1,0,0
06001009001,0,1,0,0
06001010005,0,0,1,0
06001011001,0,1,0,0
06001017001,0,1,0,0
06001019001,0,1,0,0
06001020001,0,1,0,0
06001028001,0,1,0,0
06001029001,0,1,0,0
06001031001,0,1,0,0
06001032001,0,1,0,0
06001035001,0,1,0,0
06001036001,0,1,0,0
06001038001,0,1,0,0
06001041001,0,1,0,0
06001042001,0,1,0,0
06001045001,0,0,1,0
06001045003,0,1,0,0
06001047001,0,1,0,0
06001049001,0,1,0,0
06001054001,0,1,0,0
06001055001,0,1,0,0
06001067001,0,1,0,0
06001069001,0,1,0,0
06001070001,0,1,0,0
06001073001,0,1,0,0
06001079001,0,1,0,0
06001082001,0,1,0,0
06001097001,0,1,0,0
06001098001,0,1,0,0
06001099001,0,1,0,0
06002006001,0,1,0,0
06002007001,0,1,0,0
06002008001,0,1,0,0
06002011001,0,1,0,0
06002012001,0,0,0,1
06002015001,0,1,0,0
06002021001,0,1,0,0
06002024001,0,0,1,0
06002025001,0,0,0,1
06002029001,0,1,0,0
06002030001,0,0,0,1
06002032003,0,1,0,0
06002033001,0,1,0,0
06002034002,0,1,0,0
06002036001,0,1,0,0
06002038001,0,1,0,0
06002039001,0,1,0,0
06002040001,0,1,0,0
06002041001,0,1,0,0
06002042001,0,0,0,1
06002043001,0,1,0,0
06002046001,0,1,0,0
06002052001,0,0,0,1
06002053001,0,1,0,0
06002057001,0,1,0,0
06002058001,0,1,0,0
06002063001,0,1,0,0
06002064001,0,1,0,0
06002068001,0,1,0,0
06002069001,0,1,0,0
06002071001,0,1,0,0
06002071002,0,1,0,0
06002072001,0,0,1,0
06002073001,0,1,0,0
06002081001,0,1,0,0
06002082001,0,1,0,0
06002092001,0,1,0,0
06002108001,0,1,0,0
06002109001,0,1,0,0
06002118001,0,1,0,0
06002120001,0,1,0,0
06002123001,0,1,0,0
06002125001,0,1,0,0
06002127001,0,1,0,0
06002166001,0,1,0,0
06003003001,0,1,0,0
06003004001,0,1,0,0
06003005001,0,1,0,0
06003008001,0,1,0,0
06003009001,0,1,0,0
06003010001,0,1,0,0
06003012001,0,1,0,0
06003014001,0,1,0,0
06003015001,0,1,0,0
06003016001,0,1,0,0
06003017001,0,1,0,0
06003021001,0,1,0,0
06003022001,0,1,0,0
06003027001,0,1,0,0
06003028001,0,1,0,0
06003030001,0,0,1,0
06003034001,0,1,0,0
06003036001,0,1,0,0
06003037001,0,1,0,0
06003038001,0,1,0,0
06003038003,0,1,0,0
06003040001,0,1,0,0
06003042001,0,1,0,0
06003044001,0,1,0,0
06003047001,0,0,1,0
06003049001,0,1,0,0
06003050001,0,1,0,0
06003051001,0,1,0,0
06003052001,0,0,1,0
06003053001,0,1,0,0
06003054001,0,1,0,0
06003054002,0,1,0,0
06003060001,0,1,0,0
06003061001,0,1,0,0
06003063003,0,1,0,0
06003064001,0,1,0,0
06003065001,0,1,0,0
06003068001,0,1,0,0
06003070001,0,1,0,0
06003072001,0,1,0,0
06003081001,0,1,0,0
06003100001,0,1,0,0
06004002001,0,1,0,0
06004003001,0,1,0,0
06004006001,0,1,0,0
06004007001,0,1,0,0
06004007002,0,1,0,0
06004008011,0,1,0,0
06004008012,0,0,1,0
06004008013,0,1,0,0
06004008014,0,1,0,0
06004008015,0,1,0,0
06004009001,0,0,0,1
06004009007,0,0,1,0
06004009008,0,0,1,0
06004009009,0,0,1,0
06004009010,0,1,0,0
06004010001,0,1,0,0
06004010002,0,1,0,0
06004011009,0,1,0,0
06004014001,0,1,0,0
06004016001,0,1,0,0
06004017001,0,1,0,0
06004018001,0,1,0,0
06004020001,0,1,0,0
06004023001,0,1,0,0
06004026001,0,0,1,0
06004027001,0,1,0,0
06004029001,0,1,0,0
06004044001,0,1,0,0
06005001001,0,1,0,0
06005003001,0,1,0,0
06005006001,0,1,0,0
06005008001,0,0,1,0
06005009001,0,1,0,0
06005010001,0,1,0,0
06005010002,0,1,0,0
06005011001,0,1,0,0
06005012001,0,1,0,0
06005013001,0,1,0,0
06005015001,0,1,0,0
06005022001,0,1,0,0
06005023002,0,0,1,0
06005024001,0,1,0,0
06005025001,0,1,0,0
06005031001,0,1,0,0
06005033001,0,1,0,0
06005034001,0,0,1,0
06005036001,0,1,0,0
06005038001,0,0,1,0
06005039001,0,1,0,0
06005040001,0,1,0,0
06005041001,0,1,0,0
06005042003,0,1,0,0
06005043001,0,0,1,0
06005045001,0,1,0,0
06005046001,0,1,0,0
06005047001,0,1,0,0
06005049001,0,1,0,0
06005053001,0,1,0,0
06005055001,0,1,0,0
06005058001,0,1,0,0
06005060004,0,1,0,0
06005061001,0,1,0,0
06005062001,0,1,0,0
06005064001,0,1,0,0
06005065001,0,1,0,0
06005071001,0,1,0,0
06005073001,0,0,1,0
06005077001,0,1,0,0
06005078001,0,1,0,0
06005079001,0,1,0,0
06005081001,0,1,0,0
06005087001,0,1,0,0
06005088002,0,1,0,0
06005091001,0,1,0,0
06005093001,0,1,0,0
06005094001,0,1,0,0
06005097001,0,1,0,0
06005098001,0,1,0,0
06005099001,0,1,0,0
06005104001,0,0,1,0
06005105001,0,1,0,0
06005106001,0,1,0,0
06005107001,0,1,0,0
06005108001,0,1,0,0
06005109001,0,0,1,0
06005110001,0,0,1,0
06005112001,0,1,0,0
06005113001,0,1,0,0
06005114001,0,1,0,0
06005115001,0,1,0,0
06005119001,0,1,0,0
06005120001,0,1,0,0
06005121001,0,1,0,0
06005123001,0,0,1,0
06005125001,0,1,0,0
06005126001,0,1,0,0
06005133001,0,1,0,0
06005135001,0,1,0,0
06005140001,0,1,0,0
06005145001,0,1,0,0
06005146001,0,1,0,0
06005149001,0,1,0,0
06005159001,0,1,0,0
06005160001,0,1,0,0
06005161001,0,1,0,0
06005162001,0,1,0,0
06005163001,0,1,0,0
06005164001,0,1,0,0
06005168001,0,1,0,0
06005169001,0,1,0,0
06005170001,0,1,0,0
06005176001,0,1,0,0
06005177001,0,1,0,0
06005178001,0,1,0,0
06005179001,0,1,0,0
06005184001,0,1,0,0
06005186001,0,1,0,0
06005188001,0,1,0,0
06005193001,0,1,0,0
06005197001,0,1,0,0
06005198001,0,1,0,0
06005200001,0,1,0,0
06005204001,0,1,0,0
06005205001,0,1,0,0
06005215001,0,1,0,0
06005217001,0,1,0,0
06005218001,0,1,0,0
06005225001,0,1,0,0
06005226001,0,1,0,0
06005227001,0,1,0,0
06005232001,0,0,1,0
06005233001,0,1,0,0
06005235001,0,1,0,0
06005237001,0,1,0,0
06005240001,0,0,1,0
06005244001,0,1,0,0
06005245002,0,1,0,0
06005246001,0,1,0,0
06005249001,0,1,0,0
06005249003,0,1,0,0
06005253001,0,1,0,0
06005256001,0,1,0,0
06005257001,0,1,0,0
06005261001,0,1,0,0
06005266001,0,1,0,0
06005271001,0,1,0,0
06005279001,0,1,0,0
06005282001,0,1,0,0
06005284001,0,1,0,0
06005285001,0,0,1,0
06005297001,0,0,1,0
06005303001,0,1,0,0
06005309001,0,1,0,0
06005311001,0,1,0,0
06005315002,0,1,0,0
06005324001,0,1,0,0
06005328001,0,1,0,0
06005329001,0,1,0,0
06005343001,0,1,0,0
06005347001,0,1,0,0
06005351001,0,1,0,0
06005357001,0,1,0,0
06005367001,0,0,1,0
06005368001,0,1,0,0
06005370001,0,1,0,0
06005514001,0,1,0,0
06005625001,0,1,0,0
06005681001,0,1,0,0
06005682001,0,1,0,0
06005693001,0,1,0,0
06005730001,0,1,0,0
06006004001,0,0,0,1
06006005001,1,0,0,0
06006006001,0,1,0,0
06006008001,0,0,0,1
06006009001,0,1,0,0
06006010001,0,1,0,0
06006011001,0,1,0,0
06006012001,0,1,0,0
06006013001,0,0,0,1
06006019001,0,1,0,0
06006021001,0,1,0,0
06006021002,0,1,0,0
06006021003,0,1,0,0
06006026001,0,1,0,0
06006033001,0,1,0,0
06006035001,0,1,0,0
06006038001,0,1,0,0
06006038002,0,0,1,0
06006041001,0,1,0,0
06006045001,0,1,0,0
06007002001,0,1,0,0
06007003001,0,1,0,0
06007005001,0,1,0,0
06007007001,0,1,0,0
06007008002,0,1,0,0
06007008004,0,1,0,0
06007008005,0,1,0,0
06007010001,0,1,0,0
06007011001,0,1,0,0
06007014001,0,1,0,0
06007015001,0,1,0,0
06007016001,0,1,0,0
06007016002,0,1,0,0
06007017001,0,1,0,0
06007018001,0,1,0,0
06007019001,0,1,0,0
06007021001,0,1,0,0
06007022001,0,1,0,0
06007023001,0,1,0,0
06007024001,0,1,0,0
06007025001,0,1,0,0
06007029001,0,1,0,0
06007030001,0,1,0,0
06007031001,0,1,0,0
06007032001,0,1,0,0
06007051001,0,1,0,0
06008001001,0,1,0,0
06008004001,0,0,1,0
06008006001,0,1,0,0
06008006002,0,1,0,0
06008006003,0,1,0,0
06008006005,0,1,0,0
06008006006,0,1,0,0
06008007001,0,1,0,0
06008008001,0,1,0,0
06008010001,0,1,0,0
06008012001,0,1,0,0
06008019001,0,1,0,0
06008020001,0,1,0,0
06008022001,0,1,0,0
06008022002,0,1,0,0
06008024001,0,1,0,0
06008025001,0,1,0,0
06008027001,0,1,0,0
06008028002,0,1,0,0
06008033001,0,0,1,0
06008034001,0,1,0,0
06008041002,0,1,0,0
06008046001,0,1,0,0
06008052001,0,1,0,0
06008055001,0,0,1,0
06008080001,0,1,0,0
06009002001,0,1,0,0
06009004001,0,0,1,0
06009011001,0,1,0,0
06009012001,0,1,0,0
06009014002,0,1,0,0
06009015003,0,1,0,0
06009016001,0,1,0,0
06009020001,0,1,0,0
06009025001,0,1,0,0
06009026001,0,1,0,0
06009027001,0,1,0,0
06009028001,0,1,0,0
06009031001,0,0,1,0
06009032001,0,1,0,0
06009036001,0,0,1,0
06009038001,0,0,0,1
06009039001,0,1,0,0
06009040001,0,1,0,0
06009041002,0,1,0,0
06009053001,0,1,0,0
06009058001,0,1,0,0
06009059001,0,0,1,0
06009063001,0,1,0,0
08000001001,0,0,1,0
08000018001,0,1,0,0
08000025001,0,0,1,0
08000029001,0,0,1,0
08000034003,0,1,0,0
08000035001,0,1,0,0
08000037001,0,1,0,0
08000041001,0,1,0,0
08000044001,0,1,0,0
08000045001,0,0,1,0
08000047001,0,0,1,0
08000061001,0,1,0,0
08000065001,0,0,1,0
08000066001,0,1,0,0
08000070001,0,0,1,0
08000071002,0,1,0,0
08000072001,0,1,0,0
08000074001,0,0,1,0
08000075001,0,0,1,0
08000078001,0,0,1,0
08000080001,0,1,0,0
08000081001,0,0,1,0
08000082001,0,0,1,0
08000084001,0,0,1,0
08000091001,0,1,0,0
08000092001,0,1,0,0
08000095001,0,0,1,0
08000098001,0,1,0,0
08000100001,0,0,1,0
08000110001,0,1,0,0
08000118001,0,0,1,0
08000119001,0,1,0,0
08000125001,0,0,1,0
08000126001,0,1,0,0
08000132001,0,0,1,0
