2022_FLOW_CAT_MGD,EPA_REGION,LAGOON_ALL,C1,C2,C3,C5,C6,B1,B1E,B2,B3,B4,B5,B6,D1,D2,D3,D5,D6,E2,E2P,F1,G1,G1E,G2,G3,G5,G6,H1,I1,I1E,I2,I3,I5,I6,N1,N2,O1,O1E,O2,O3,O5,O6,Most Common TT (OVERALL),Most Common TT w/ BASIC_AS,Most Common TT w/ AS_BNR_N,Most Common TT w/ AS_BNR_P,Most Common TT w/ AS-PUREO,Most Common TT w/ AND,Most Common TT w/ AED,Most Common TT w/ LIME,Most Common TT w/ FBI,Most Common TT w/ MHI,Most Common TT w/ TF_ALL
2 TO 4,2,10,5,5,0,0,0,18,2,6,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,B1,B1,G2,I2,O1,B1,B2,B3,B6,B5,D1
2 TO 4,3,8,1,14,3,0,0,16,1,10,0,0,0,2,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B1,B1,G2,I2,O1,B1,C2,C3,B6,B5,D1
2 TO 4,4,43,8,38,0,0,0,29,0,26,0,0,1,0,32,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,C2,C2,G2,I2,O2,D1,C2,B3,D6,B5,D1
2 TO 4,5,35,20,30,0,0,0,74,4,36,1,0,0,1,51,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,B1,G2,I2,O1,B1,B2,B3/D3,B6,D5,D1
2 TO 4,6,32,2,50,0,0,0,4,0,7,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,C2,G2,I2,O1,D1,C2,B3,B6,B5,D1
2 TO 4,7,18,4,12,0,0,0,4,0,6,1,0,0,0,29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,D1,C2,G2,I2,O1,D1,C2,B3/D3,B6,B5,D1
2 TO 4,8,17,2,4,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STBL_POND,C2,G2,I2,O1,D1,C2,B3,B6,B5,D1
2 TO 4,9,26,8,5,0,1,0,8,3,9,0,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,B2,G2,I2,O1,D1,B2,B3,B6,C5/B5,D1
2 TO 4,10,14,3,7,0,0,0,4,2,5,1,0,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,BS_LAGOON/C2,C2,G2,I2/I1,O1,D1,C2,B3,B6,B5,D1
4 TO 7,1,4,0,1,0,0,0,4,1,1,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B1,B1,G1/G2,I5/I1,O1,B1/D1,D2,B3,B6,B5,D1
4 TO 7,2,4,2,1,0,0,0,11,2,3,0,0,4,1,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B1,B1,G1/G2,I5,O2,B1,B2,B3,B6/D6,B5,D1
4 TO 7,3,3,0,3,0,0,0,11,3,4,1,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,B1,G1/G2,I5/I1,O2,B1,B2,B3,B6,B5,D1
4 TO 7,4,10,7,33,1,0,1,28,1,21,1,0,1,0,43,16,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,C2,C2,G1,I5/I1,O2,D1,C2,C3/B3/D3,C6,D5,D1
4 TO 7,5,15,12,14,1,0,0,56,7,34,2,0,5,0,23,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,B1,B1,G1/G2,I1,O1/O5,B1,B2,D3,B6,B5,D1
4 TO 7,6,9,9,19,1,0,0,4,0,6,0,0,0,0,12,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C2,C2,G1/G2,I5/I1,O2,D1,C2,C3,B6,D5,D1
4 TO 7,7,2,2,3,0,0,0,4,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,B1,G2,I5/I1,O2,D1,C2,B3,B6,B5,D1
4 TO 7,8,10,3,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,C1,G1/G2,I5/I1,O2,C1,C2,B3,B6,B5,D1
4 TO 7,9,19,2,4,0,0,0,8,6,3,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STBL_POND,B1,G1/G2,I5/I1,O2,D1,C2,B3,B6,B5,D1
4 TO 7,10,7,2,1,0,0,0,9,1,3,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,B1,G1/G2,I5/I1,O2,B1,B2,B3,B6,B5,D1
46 TO 100,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,C1,G1,,O1,C1,B2,O3,C6,B5,D1
46 TO 100,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,B1,G1,,O1,B1,B2,O3,C6,B5,D1
46 TO 100,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C1,C1,G1,,O1,C1,B2,O3,C6,B5,D1
46 TO 100,4,1,5,0,0,1,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,C1,G1,,O1,C1,B2,O3,C6,C5/B5,D1
46 TO 100,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,C1,G1,,O1,C1,B2,O3,C6,C5,D1
46 TO 100,6,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,C1,G1,,O1,C1,B2,B3,C6,B5,D1
46 TO 100,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,STBL_POND/O1,B1,G1,,O1,B1/O1,B2,O3,C6,B5,D1
46 TO 100,8,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,D1,C1/B1/B2,G1,,O1/O3,D1,B2,O3,C6,B5,D1
46 TO 100,9,1,2,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,D1,C1/B1,G1,,O1/O3,D1,B2,O3,C6,B5,D1
46 TO 100,10,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BS_LAGOON/B1,B1,G1,,O1,B1,B2,O3,C6,B5,D1
7 TO 16,1,4,3,0,0,2,0,9,0,1,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1,B1,,I1/I2,O1,B1,B2,B3,B6,C5,D1
7 TO 16,2,5,3,1,0,1,0,7,2,2,0,0,5,1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,D1,B1,,I2/I5,O1,D1,B2,B3,B6,B5,D1
7 TO 16,3,0,4,2,0,2,0,15,1,3,5,0,4,1,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,B1,B1,,I1/I2,O1,B1,B2,B3,B6/O6,B5,D1
7 TO 16,4,15,10,16,0,0,0,17,0,21,1,0,1,0,21,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,B2,B2,,I1/I2,O1,D1,B2,B3/D3,B6,B5,D1
7 TO 16,5,6,11,7,0,0,0,20,6,11,0,0,1,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0,2,0,B1,B1,,I1/I2,O1,B1,B2,B3,B6,O5,D1
7 TO 16,6,7,10,18,1,0,0,5,2,8,1,0,0,0,15,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,C2,C2,,I1/I2,O1,D1,C2,C3/B3/D3,D6,B5,D1
7 TO 16,7,1,1,0,0,0,0,7,2,2,1,0,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,B1,,I1/I2,O1,D1,B2,B3,B6,B5,D1
7 TO 16,8,3,4,0,0,0,0,1,1,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,C1,,I1/I2,O1,D1,B2/D2,B3,B6,B5,D1
7 TO 16,9,28,8,3,1,0,1,16,6,5,0,0,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,B1,B1,,I1/I2,O1,B1,B2,C3,C6,B5,D1
7 TO 16,10,4,3,0,0,0,0,8,4,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,B1,B1,,I1,O2/O5,B1,O2,B3,B6,O5,D1
LESS THAN 2,1,84,2,39,4,0,0,9,0,5,2,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,C2,,I2,O2,B1/D1,C2,C3,C6/B6/D6,C5/D5,D1
LESS THAN 2,2,61,13,83,0,1,0,38,0,24,0,0,3,3,75,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C2,C2,,I2,O2,D1,C2,C3,B6,B5/D5,D1
LESS THAN 2,3,136,18,107,14,0,0,68,0,55,1,0,0,0,38,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,C2,C2,,I2,O2,B1,C2,C3,D6,C5/D5,D1
LESS THAN 2,4,391,13,185,1,0,0,42,0,100,0,0,1,0,45,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,C2,C2,,I2,O1/O2,D1,C2,C3,C6/B6/D6,B5,D1
LESS THAN 2,5,1121,79,314,1,2,0,124,3,147,0,0,0,0,217,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,C2,C2,,I2,O2,D1,C2,C3,C6/B6/D6,C5,D1
LESS THAN 2,6,687,16,205,0,0,0,5,0,2,0,0,0,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,C2,,I2,O2,D1,C2,C3,C6/B6/D6,C5/D5,D1
LESS THAN 2,7,1227,25,87,2,1,2,17,0,30,2,0,0,0,64,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STBL_POND,C2,,I2,O2,D1,C2,C3/B3,C6,C5/D5,D1
LESS THAN 2,8,539,5,11,0,0,1,1,0,6,0,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STBL_POND,C2,,I2,O2,D1/C1,C2,C3,C6/D6,C5/D5,D1
LESS THAN 2,9,161,15,30,0,0,0,17,1,12,0,0,1,0,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STBL_POND,C2,,I2,O2,D1,C2,C3,C6/B6/D6,B5/D5,D1
LESS THAN 2,10,198,9,62,0,2,0,4,0,18,0,0,0,0,13,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,C2,,I2,O2,D1,C2,C3,D6,C5,D2
