FACILITY_ID,CWNS_ID,FLOW_2022_MGD_FINAL,FACILITY_NAME,INFRASTRUCTURE_TYPE,LATITUDE,LONGITUDE,CITY,STATE_CODE,AUTHORITY_NAME,COUNTY_NAME,HUC,WATERSHED_NAME,FACILITY_TYPE
1100990,33000107001,0.084,Rockingham County Home WWTF,Wastewater,42.9803,-70.9841,Brentwood,NH,ROCKINGHAM COUNTY COMMISSIONERS,Rockingham,1060003,Piscataqua-Salmon Falls,Collection: Separate Sewers
1101865,01000037001,0.83,CHILDERSBURG BAILEY BR LAGOON,Wastewater,33.2728,-86.3719,Childersburg,AL,"CHILDERSBURG, WWS&GAS BD,",Talladega,3150107,Lower Coosa,Collection: Separate Sewers
1101963,01000130001,4.5,OXFORD TULL C ALLEN WWTP,Wastewater,33.585112,-85.900722,Oxford,AL,Oxford WW & SB,Talladega,3150106,Middle Coosa,Treatment Plant
1101976,01000141001,0.74,RAINBOW CITY LAGOON,Wastewater,33.977275,-85.99709,Gadsden,AL,Rainbow City WWS & GB,Etowah,3150106,Middle Coosa,Treatment Plant
1104900,05000029001,0.15,Perryville WWTP,Wastewater,34.9993,-92.7899,Perryville,AR,Perryville,Perry,11110206,Fourche La Fave,Treatment Plant
1088838,26003027001,0.13,PENTWATER STP,Wastewater,43.7778,-86.4111,Pentwater,MI,"PENTWATER, TWP OF",,,,Treatment Plant
1088851,26003038001,0.13,PIGEON WWSL,Wastewater,43.8375,-83.2875,Pigeon,MI,"PIGEON      ,VILLAGEOF",,,,Treatment Plant
1088852,26003040001,0.205,STANTON WWTP,Wastewater,43.2531,-84.8952,Crystal,MI,"STANTON      ,CITYOF",,,,Treatment Plant
1088944,26003172001,0.14,FENNVILLE STP,Wastewater,42.5861,-86.1025,Fennville,MI,"FENNVILLE, CITY OF",,,,Treatment Plant
1094098,50000048001,0.11,North Troy WWTF,Wastewater,44.994,-72.3978,North Troy,VT,"North Troy, Town of",Orleans,2010007,Missisquoi,Treatment Plant
1101839,01000013001,1.93,ATTALLA LAGOON,Wastewater,33.988,-86.0459,Attalla,AL,City of Attalla,Etowah,3150106,Middle Coosa,Treatment Plant
1101881,01000049005,12,DOTHAN LITTLE CHOCTAWHATCHEE WWTP,Wastewater,31.2533,-85.5043,Dothan,AL,Dothan Utilities,Dale,3140201,Upper Choctawhatchee,Collection: Separate Sewers
1102011,01000177001,1.62,TUSCUMBIA WWTP,Wastewater,34.7317,-87.7136,Tuscumbia,AL,Tuscumbia Utilities,Colbert,6030005,Pickwick Lake,Treatment Plant
1102050,01000212001,0.5,ASHVILLE LAGOON,Wastewater,33.849444,-86.257778,Ashville,AL,"Asheville, City of",St. Clair,3150106,Middle Coosa,Treatment Plant
1172674,40000417001,2,WEATHERFORD WWT,Wastewater,35.5179,-98.6985,Weatherford,OK,WEATHERFORD PWA,Custer,11090201,Lower Canadian-Deer,Collection: Separate Sewers
1172740,40000519002,0.28,WAURIKA WWT,Wastewater,34.1501,-97.99,Waurika,OK,"WAURIKA, CITY OF",,,,Collection: Separate Sewers
1175457,06004002001,3,OJAI VALLEY SD WWTF,Wastewater,34.346767,-119.296803,Ventura,CA,OJAI VALLEY SANITARY DISTRICT,Ventura,18070102,Santa Clara,Treatment Plant
1175504,06004017001,1.8,FILLMORE WWTF,Wastewater,34.3985421,-118.9124912,Fillmore,CA,FILLMORE  WWTP,Ventura,18070102,Santa Clara,Treatment Plant
1175759,06005308001,0.2,LATON WWTP,Wastewater,36.4344,-119.6844,Laton,CA,Laton Community Services District,,,,Treatment Plant
1175865,06006012001,0.08,HILTON CREEK WWTF,Wastewater,37.8133,-118.9971,Mammoth Lakes,CA,HILTON CREEK CSD,Mono,18090101,Mono Lake,Collection: Separate Sewers
1175978,06008024001,10.4,COLTON WWTF,Wastewater,34.0506,-117.3331,Colton,CA,"Colton, City of",San Bernardino,18070203,Santa Ana,Treatment Plant
1180751,53000100001,0.68,BLAINE STP,Wastewater,48.9779,-122.7911,Blaine,WA,Blaine city of,,,,Collection: Separate Sewers
1180769,53000207009,0.08,CLALLAM BAY STP,Wastewater,48.257242,-124.252818,Clallam Bay,WA,Clallam County,Clallam,17110021,Crescent-Hoko,Treatment Plant
1180829,53000664001,4.32,LAKE STEVENS STP,Wastewater,48.0011,-122.1357,Everett,WA,LAKE STEVENS Sewer District,Snohomish,17110011,Snohomish,Collection: Pump Stations
1164363,41000110001,0.2,CHILOQUIN STP,Wastewater,42.54,-121.74,Chiloquin,OR,"CHILOQUIN, CITY OF",Klamath,18010202,Sprague,Treatment Plant
1166201,47001335001,0.895,Somerville Lagoon,Wastewater,35.2611,-89.3692,Somerville,TN,SOMERVILLE WWTP,,,,Collection: Separate Sewers
1166213,47001415501,0.75,TELLICO RES. DEV. AGENCY STP,Wastewater,35.6136,-84.2603,Vonore,TN,TELLICO RESERVOIR DEVELOPMENT AGENCY,,,,Treatment Plant
1168193,22000328001,0.11,MERRYVILLE STP,Wastewater,30.7452,-93.5391,Merryville,LA,Town of Merryville- Wastewater Treatment Facility,Beauregard,12010005,Lower Sabine,Treatment Plant
1168288,22003004001,0.2,IOTA OX POND,Wastewater,30.3195,-92.4984,Iota,LA,"IOTA, TOWN OF",,,,Treatment Plant
1168477,22003251001,0.36,COUSHATTA WWTP,Wastewater,32.0252,-93.353,Coushatta,LA,"COUSHATTA, TOWN OF",Red River,11140202,Middle Red-Coushatta,Collection: Pump Stations
1232746,17005555080,0.289,GRANVILLE STP,Wastewater,41.2609,-89.2281,Granville,IL,VILLAGE OF GRANVILLE,,,,Collection: Combined Sewers
1233276,29003509001,0.12,New London WWTP,Wastewater,39.596099,-91.398325,New London,MO,City of New London,,,,Collection: Separate Sewers
1234204,18004453001,0.665,ATTICA WWTP,Wastewater,40.2908,-87.2555,Attica,IN,"ATTICA, City of",,,,Collection: Combined Sewers
1236857,40000077001,0.04,CAMERON PWA WWT,Wastewater,35.128167,-94.541464,Cameron,OK,CAMERON PWA,,,,Treatment Plant
1238055,41000145001,0.25,GLENDALE STP,Wastewater,42.7428,-123.4312,Glendale,OR,"GLENDALE, CITY OF",,,,Treatment Plant
1238817,06005080001,1,WATERFORD WWTP,Wastewater,37.634065,-120.766182,Waterford,CA,Waterford Community Services District,,,,Treatment Plant
1238829,06007011001,0.81,HEBER WWTF,Wastewater,32.7364,-115.5251,Heber,CA,HEBER PUD,Imperial,18100204,Salton Sea,Collection: Separate Sewers
1239216,26000711001,1.85,MILAN WWTP,Wastewater,42.0818,-83.6765,Milan,MI,"MILAN      ,CITYOF",,,,Treatment Plant
1179410,46000564001,0.03,"Pickstown, Town of",Wastewater,43.0321,-98.316,Pickstown,SD,"Picktown, Town of",Charles Mix,10170101,Lewis And Clark Lake,Collection: Pump Stations
1180885,53000982007,2.38,GIG HARBOR STP,Wastewater,47.338,-122.5954,Gig Harbor,WA,Gig Harbor City of,King,17110019,Puget Sound,Treatment Plant
1180911,53001160001,1.67,SEQUIM STP,Wastewater,48.0846,-123.0569,Sequim,WA,Sequim city of,Clallam,17110020,Dungeness-Elwha,Water Reuse
1182875,48001006001,0.07,Grandfalls WWTP,Wastewater,31.3372,-102.8419,Grandfalls,TX,GRANDFALLS,,,,Collection: Separate Sewers
459501,16000063201,0.25,Coolin S/T System,Wastewater,48.4388,-116.8402,Coolin,ID,Coolin Sewer District,,,,Treatment Plant
1130457,20000952001,0.108,OLPE WWTP,Wastewater,38.2562,-96.1608,Olpe,KS,"OLPE, CITY OF",,,,Collection: Separate Sewers
1130674,20001650001,0.15,UDALL WWTP,Wastewater,37.387,-97.11722,Udall,KS,UDALL CITY OF,,,,Collection: Separate Sewers
